scan,orientation,shape_raw,best,score_best,score_second,score_identity,spacing,dice_1,dice_2,dice_3,dice_4,dice_5,dice_6,shift_mm_1,shift_mm_2,shift_mm_3,shift_mm_4,shift_mm_5,shift_mm_6
MTR_053,SIAPLR,512x512x160,----,4.125,2.301,4.125,0.31246;0.31247;0.80005,0.702,0.876,0.921,0.826,0.953,0.881,0.91,0.70,0.21,0.49,0.45,0.54
MTR_056,SIAPLR,512x512x160,----,5.353,2.521,5.353,0.31250;0.31250;0.80000,0.804,0.916,0.976,0.898,0.985,0.924,0.68,0.41,0.22,0.30,0.10,0.24
MTR_057,SIAPRL,512x512x160,----,4.759,2.377,4.759,0.31250;0.31250;0.79953,0.854,0.936,0.868,0.999,0.930,0.997,0.36,0.38,0.34,0.01,0.22,0.04
MTR_061,SIAPLR,512x512x160,----,5.787,2.749,5.787,0.31250;0.31250;0.80000,0.671,0.853,0.834,0.841,0.899,0.872,0.79,0.40,0.32,0.36,0.29,0.36
MTR_062,SIAPLR,512x512x160,----,3.932,1.956,3.932,0.31252;0.31246;0.79997,0.438,0.758,0.863,0.775,0.902,0.788,1.37,0.75,0.49,0.76,0.35,0.73
MTR_065,SIAPLR,512x512x160,----,4.252,2.199,4.252,0.31247;0.31245;0.80009,0.698,0.762,0.747,0.661,0.870,0.765,0.99,0.57,0.52,0.77,0.47,0.82
MTR_066,SIAPLR,512x512x160,----,2.732,1.755,2.732,0.35158;0.35159;0.79995,0.510,0.710,0.727,0.692,0.855,0.808,1.32,0.60,0.58,0.84,0.49,0.85
MTR_069,SIAPLR,512x512x160,----,2.737,1.561,2.737,0.31251;0.31251;0.79980,0.479,0.596,0.700,0.631,0.806,0.765,1.80,1.17,0.87,1.08,0.78,1.25
MTR_071,SIAPLR,512x512x160,----,3.046,1.684,3.046,0.31252;0.31252;0.79973,0.735,0.823,0.878,0.846,0.946,0.880,1.03,0.62,0.34,0.63,0.25,0.84
MTR_074,SIAPLR,512x512x160,----,4.144,3.137,4.144,0.31248;0.31247;0.80023,0.791,0.919,0.989,0.878,0.991,0.894,0.56,0.49,0.12,0.30,0.07,0.33
MTR_077,SIAPLR,512x512x160,----,4.825,1.992,4.825,0.31250;0.31250;0.80000,0.783,0.876,0.956,0.881,0.984,0.920,0.77,0.47,0.21,0.32,0.14,0.30
MTR_079,SIAPLR,512x512x160,----,4.460,2.968,4.460,0.31250;0.31250;0.80000,0.800,0.926,0.990,0.956,0.979,0.957,0.48,0.36,0.11,0.14,0.11,0.12
MTR_080,SIAPLR,512x512x160,----,4.690,3.405,4.690,0.31254;0.31246;0.80001,0.696,0.815,0.858,0.798,0.912,0.852,1.04,0.63,0.42,0.71,0.30,0.90
MTR_083,SIAPLR,512x512x160,----,3.896,2.032,3.896,0.31256;0.31254;0.80003,0.349,0.761,0.738,0.729,0.920,0.843,1.34,0.81,0.32,0.83,0.29,0.84
MTR_084,SIAPLR,512x512x160,----,5.049,2.933,5.049,0.31252;0.31251;0.80007,0.691,0.793,0.853,0.766,0.880,0.725,1.11,0.73,0.31,0.72,0.32,0.81
MTR_087,SIAPLR,512x512x160,----,3.435,2.524,3.435,0.31254;0.31250;0.80043,0.600,0.771,0.871,0.731,0.932,0.791,1.09,0.64,0.24,0.61,0.17,0.69
MTR_093,SIAPLR,512x512x160,----,5.123,2.993,5.123,0.31250;0.31248;0.80001,0.655,0.781,0.833,0.746,0.908,0.783,0.92,0.58,0.30,0.69,0.28,0.62
MTR_094,SIAPLR,512x512x160,----,4.443,2.465,4.443,0.31246;0.31250;0.79995,0.139,0.588,0.791,0.683,0.904,0.805,1.66,1.17,0.54,0.99,0.39,1.08
MTR_095,SIAPLR,512x512x160,----,3.252,1.934,3.252,0.35160;0.35160;0.80000,0.615,0.854,0.794,0.794,0.879,0.880,1.32,0.86,0.52,0.72,0.32,0.96
MTR_096,SIAPLR,512x512x160,----,5.081,2.664,5.081,0.31250;0.31250;0.80000,0.810,0.914,0.934,0.917,0.966,0.937,0.90,0.53,0.19,0.29,0.33,0.33
MTR_097,SIAPLR,512x512x160,----,3.338,1.830,3.338,0.31250;0.31250;0.80000,0.663,0.856,0.934,0.940,0.933,0.931,1.23,0.70,0.36,0.52,0.68,0.50
MTR_098,SIAPLR,512x512x160,----,4.702,2.683,4.702,0.31250;0.31250;0.80000,0.851,0.950,0.994,0.990,0.984,0.983,0.57,0.37,0.10,0.22,0.16,0.19
MTR_099,SIAPLR,512x512x160,----,3.530,2.200,3.530,0.31250;0.31250;0.80000,0.697,0.854,0.845,0.783,0.921,0.856,0.88,0.57,0.32,0.56,0.29,0.52
MTR_100,SIAPLR,512x512x160,----,2.985,1.554,2.985,0.31250;0.31250;0.80000,0.711,0.751,0.712,0.598,0.856,0.669,1.02,0.72,0.51,0.98,0.42,1.14
MTR_101,SIAPLR,512x512x160,----,3.873,2.942,3.873,0.31256;0.31247;0.79972,0.810,0.810,0.856,0.757,0.875,0.711,0.92,0.61,0.40,0.89,0.37,0.93
MTR_103,SIAPLR,512x512x160,----,2.876,1.995,2.876,0.31250;0.31250;0.80000,0.711,0.851,0.861,0.814,0.930,0.891,1.10,0.64,0.34,0.64,0.30,0.45
